TABLE UD- Livello 1 ;Liv 2;Liv 3;Liv 4;Liv 5;Liv 6;Liv 7;Liv 8;Liv 9;Liv 10;Columns;FK Name;R Table
;;;VOL_APPART_FIRMA_VOLUME;;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;VOL_VERIF_FIRMA_VOLUME;;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;ARO_CONTROFIRMA_FIRMA;;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;ARO_CONTROFIRMA_FIRMA;;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;ARO_CONTR_FIRMA_COMP;;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;FIR_REPORT;;;;;;;;ID_COMP_DOC;FK_FIRREPORT_COMP_DOC;ARO_COMP_DOC
;;;FIR_URN_REPORT;;;;;;;ID_REPORT;FK_URN_REPORT;FIR_REPORT
;;ARO_MARCA_COMP;;;;;;;;ID_COMP_DOC;FK_MRK_COMP_COMP_DOC;ARO_COMP_DOC
;;;ARO_CONTR_MARCA_COMP;;;;;;;ID_MARCA_COMP;FK_CTR_MRK_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;ARO_USO_CERTIF_CA_CONTR_MARCA;;;;;;ID_CONTR_MARCA_COMP;FK_CA_CTR_MRK_CTR_MRK_COMP;ARO_CONTR_MARCA_COMP
;;;ARO_FIRMA_COMP;;;;;;;ID_MARCA_COMP;FK_FIR_COMP_MRK_COMP;ARO_MARCA_COMP
;;;;VOL_APPART_FIRMA_VOLUME;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;VOL_VERIF_FIRMA_VOLUME;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;ARO_CONTR_FIRMA_COMP;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;REC_SESSIONE_RECUP;;;;;;;;ID_COMP_DOC;FK_SES_REC_COMP_DOC;ARO_COMP_DOC
;;;REC_DT_VERS_RECUP;;;;;;;ID_SESSIONE_RECUP;FK_DT_VERS_REC_SES_REC;REC_SESSIONE_RECUP
;;;SEQ_UD_APPART_SEQUESTRO;;;;;;;ID_SESSIONE_RECUP;FK_UD_APP_SEQ_SES_REC;REC_SESSIONE_RECUP
;;ARO_UPD_COMP_UNITA_DOC;;;;;;;;ID_COMP_DOC;FK_UPD_COMP_UD_COMP;ARO_COMP_DOC
;;;ARO_UPD_DATI_SPEC_UNITA_DOC;;;;;;;ID_UPD_COMP_UNITA_DOC;FK_UPD_DATI_SPEC_UPD_COMP_UD;ARO_UPD_COMP_UNITA_DOC
;;ARO_USO_XSD_DATI_SPEC;;;;;;;;ID_COMP_DOC;FK_USO_XSD_DATI_SPEC_COMP_DOC;ARO_COMP_DOC
;;;ARO_VALORE_ATTRIB_DATI_SPEC;;;;;;;ID_USO_XSD_DATI_SPEC;FK_VL_DATI_SPEC_USO_XSD;ARO_USO_XSD_DATI_SPEC
;;ARO_VERS_INI_COMP;;;;;;;;ID_COMP_DOC;FK_VERS_INI_COMP;ARO_COMP_DOC
;ARO_DOC;;;;;;;;;ID_UNITA_DOC;FK_DOC_UNI_DOC;ARO_UNITA_DOC
